序号,NEW_TYPE,大类,中类,小类,Big Category,Mid Category,Sub Category,权重,评价规则
96,22500,汽车销售,克莱斯勒特约销售,克莱斯勒销售,Auto Dealers,Chrysler Franchised Sales,Chrysler Sales,0.29,普通品牌
97,22501,汽车销售,克莱斯勒特约销售,吉普销售,Auto Dealers,Chrysler Franchised Sales,Jeep Sales,0.29,个性品牌
98,22502,汽车销售,克莱斯勒特约销售,道奇销售,Auto Dealers,Chrysler Franchised Sales,Dodge Sales,0.29,普通品牌
99,22600,汽车销售,荣威销售,荣威销售,Auto Dealers,ROEWE Sales,ROEWE Sales,0.29,国产品牌
100,22700,汽车销售,名爵销售,名爵销售,Auto Dealers,MG Sales,MG Sales,0.29,国产品牌
101,22800,汽车销售,江淮销售,江淮销售,Auto Dealers,JAC Sales,JAC Sales,0.29,国产品牌
102,22900,汽车销售,红旗销售,红旗销售,Auto Dealers,Hongqi Sales,Hongqi Sales,0.29,高端国产品牌
103,23000,汽车销售,长安汽车销售,长安汽车销售,Auto Dealers,Chang'an Sales,Chang'an Sales,0.29,国产品牌
104,23100,汽车销售,海马汽车销售,海马汽车销售,Auto Dealers,Haima Sales,Haima Sales,0.29,普通品牌
105,23200,汽车销售,北京汽车销售,北京汽车销售,Auto Dealers,BAIC MOTOR Sales,BAIC MOTOR Sales,0.29,国产品牌
106,23300,汽车销售,长城汽车销售,长城汽车销售,Auto Dealers,Great Wall Sales,Great Wall Sales,0.29,国产品牌
107,23301,汽车销售,长城汽车销售,魏派汽车销售,Auto Dealers,Great Wall Sales,WEY Sales,0.29,高端国产品牌
108,23400,汽车销售,纳智捷销售,纳智捷销售,Auto Dealers,Luxgen Sales,Luxgen Sales,0.29,普通品牌
109,23500,汽车销售,广汽传祺销售,广汽传祺销售,Auto Dealers,GAC Trumpchi Sales,GAC Trumpchi Sales,0.29,国产品牌
110,25000,汽车销售,货车销售,货车销售,Auto Dealers,Truck Sales,Truck Sales,0.2,低频需求
111,25100,汽车销售,东风货车销售,东风货车销售,Auto Dealers,Dongfeng Truck Sales,Dongfeng Truck Sales,0.29,专业需求
112,25200,汽车销售,中国重汽销售,中国重汽销售,Auto Dealers,SINOTRUK Sales,SINOTRUK Sales,0.29,专业需求
113,25300,汽车销售,一汽解放销售,一汽解放销售,Auto Dealers,FAW Jiefang Sales,FAW Jiefang Sales,0.29,专业需求
114,25400,汽车销售,福田卡车销售,福田卡车销售,Auto Dealers,Foton Truck Sales,Foton Truck Sales,0.29,专业需求
115,25500,汽车销售,陕西重汽销售,陕西重汽销售,Auto Dealers,Shaanxi Heavy-duty Truck Sales,Shaanxi Heavy-duty Truck Sales,0.29,专业需求
116,25600,汽车销售,北奔重汽销售,北奔重汽销售,Auto Dealers,Beiben Trucks Sales,Beiben Trucks Sales,0.29,专业需求
117,25700,汽车销售,江淮货车销售,江淮货车销售,Auto Dealers,JAC Truck Sales,JAC Truck Sales,0.29,专业需求
118,25800,汽车销售,华菱星马销售,华菱星马销售,Auto Dealers,CAMC Sales,CAMC Sales,0.29,专业需求
119,25900,汽车销售,成都大运汽车销售,成都大运汽车销售,Auto Dealers,Chengdu Dayun Automotive Sales,Chengdu Dayun Automotive Sales,0.29,专业需求
120,26000,汽车销售,梅赛德斯-奔驰卡车销售,梅赛德斯-奔驰卡车销售,Auto Dealers,Mercedes-Benz Truck Sales,Mercedes-Benz Truck Sales,0.29,高端专业
121,26100,汽车销售,德国曼恩销售,德国曼恩销售,Auto Dealers,MAN Sales,MAN Sales,0.29,高端专业
122,26200,汽车销售,斯堪尼亚销售,斯堪尼亚销售,Auto Dealers,SCANIA Sales,SCANIA Sales,0.29,高端专业
123,26300,汽车销售,沃尔沃卡车销售,沃尔沃卡车销售,Auto Dealers,Volvo Truck Sales,Volvo Truck Sales,0.29,高端专业
124,29900,汽车销售,观致销售,观致销售,Auto Dealers,Qoros Sales,Qoros Sales,0.29,普通品牌
125,30000,汽车维修,汽车维修,汽车维修,Auto Repair,Automobile Repair,Automobile Repair,0.29,基础服务
126,30100,汽车维修,汽车综合维修,汽车综合维修,Auto Repair,Automobile Comprehensive Repair,Automobile Comprehensive Repair,0.29,便利服务
127,30200,汽车维修,大众特约维修,大众维修,Auto Repair,Volkswagen Franchised Repair,Volkswagen Repair,0.29,品牌服务
128,30201,汽车维修,大众特约维修,上海大众维修,Auto Repair,Volkswagen Franchised Repair,Shanghai Volkswagen Repair,0.29,合资品牌
129,30202,汽车维修,大众特约维修,一汽-大众维修,Auto Repair,Volkswagen Franchised Repair,FAW-Volkswagen Repair,0.29,合资品牌
130,30203,汽车维修,大众特约维修,斯柯达维修,Auto Repair,Volkswagen Franchised Repair,Skoda Repair,0.29,普通品牌
131,30204,汽车维修,大众特约维修,进口大众维修,Auto Repair,Volkswagen Franchised Repair,Import Volkswagen Repair,0.29,进口品牌
132,30205,汽车维修,大众特约维修,宾利维修,Auto Repair,Volkswagen Franchised Repair,Bentley Repair,0.29,奢侈品牌
133,30206,汽车维修,大众特约维修,兰博基尼维修,Auto Repair,Volkswagen Franchised Repair,Lamborghini Repair,0.29,奢侈品牌
134,30300,汽车维修,本田特约维修,本田维修,Auto Repair,Honda Franchised Repair,Honda Repair,0.29,品牌服务
135,30301,汽车维修,本田特约维修,广汽本田维修,Auto Repair,Honda Franchised Repair,GAC Honda Repair,0.29,合资品牌
136,30302,汽车维修,本田特约维修,东风本田维修,Auto Repair,Honda Franchised Repair,Dongfeng Honda Repair,0.29,合资品牌
137,30303,汽车维修,本田特约维修,本田讴歌维修,Auto Repair,Honda Franchised Repair,Acura Repair,0.29,高端品牌
138,30400,汽车维修,奥迪特约维修,上汽-大众奥迪维修,Auto Repair,Audi Franchised Repair,SAIC_Audi Repair,0.29,豪华品牌
139,30401,汽车维修,奥迪特约维修,一汽-大众奥迪维修,Auto Repair,Audi Franchised Repair,FAW-Audi Repair,0.29,豪华品牌
140,30500,汽车维修,通用特约维修,通用维修,Auto Repair,General Motors Franchised Repair,General Motors Repair,0.29,品牌服务
141,30501,汽车维修,通用特约维修,凯迪拉克维修,Auto Repair,General Motors Franchised Repair,Cadillac Repair,0.29,豪华品牌
142,30502,汽车维修,通用特约维修,别克维修,Auto Repair,General Motors Franchised Repair,Buick Repair,0.29,中高端品牌
143,30503,汽车维修,通用特约维修,雪佛兰维修,Auto Repair,General Motors Franchised Repair,Chevrolet Repair,0.29,普通品牌
144,30504,汽车维修,通用特约维修,欧宝维修,Auto Repair,General Motors Franchised Repair,Opel Repair,0.29,普通品牌
145,30505,汽车维修,通用特约维修,萨博维修,Auto Repair,General Motors Franchised Repair,Saab Repair,0.29,衰退品牌
146,30506,汽车维修,通用特约维修,沃克斯豪尔维修,Auto Repair,General Motors Franchised Repair,Vauxhall Repair,0.29,地域品牌
147,30507,汽车维修,通用特约维修,土星维修,Auto Repair,General Motors Franchised Repair,Saturn Repair,0.29,衰退品牌
148,30508,汽车维修,通用特约维修,大宇维修,Auto Repair,General Motors Franchised Repair,Daewoo Repair,0.29,衰退品牌
149,30700,汽车维修,宝马特约维修,宝马维修,Auto Repair,BMW Franchised Repair,BMW Repair,0.29,豪华品牌
150,30701,汽车维修,宝马特约维修,宝马MINI维修,Auto Repair,BMW Franchised Repair,BMW MINI Repair,0.29,个性品牌
151,30702,汽车维修,宝马特约维修,劳斯莱斯维修,Auto Repair,BMW Franchised Repair,Rolls-Royce Repair,0.29,奢侈品牌
152,30800,汽车维修,日产特约维修,日产维修,Auto Repair,Nissan Franchised Repair,Nissan Repair,0.29,普通品牌
153,30801,汽车维修,日产特约维修,英菲尼迪维修,Auto Repair,Nissan Franchised Repair,Infiniti Repair,0.29,豪华品牌
154,30802,汽车维修,日产特约维修,东风日产维修,Auto Repair,Nissan Franchised Repair,Dongfeng Nissan Repair,0.29,合资品牌
155,30803,汽车维修,日产特约维修,郑州日产维修,Auto Repair,Nissan Franchised Repair,Zhengzhou Nissan Repair,0.29,普通品牌
156,30900,汽车维修,雷诺特约维修,雷诺维修,Auto Repair,Renault Franchised Repair,Renault Repair,0.29,普通品牌
157,31000,汽车维修,梅赛德斯-奔驰特约维修,梅赛德斯-奔驰维修,Auto Repair,Mercedes-Benz Franchised Repair,Mercedes-Benz Repair,0.29,豪华品牌
158,31004,汽车维修,梅赛德斯-奔驰特约维修,迈巴赫维修,Auto Repair,Mercedes-Benz Franchised Repair,Maybach Repair,0.29,奢侈品牌
159,31005,汽车维修,梅赛德斯-奔驰特约维修,精灵维修,Auto Repair,Mercedes-Benz Franchised Repair,Smart Repair,0.29,个性品牌
160,31100,汽车维修,丰田特约维修,丰田维修,Auto Repair,Toyota Franchised Repair,Toyota Repair,0.29,品牌服务
161,31101,汽车维修,丰田特约维修,一汽丰田维修,Auto Repair,Toyota Franchised Repair,FAW-Toyota Repair,0.29,合资品牌
162,31102,汽车维修,丰田特约维修,广汽丰田维修,Auto Repair,Toyota Franchised Repair,GAC Toyota Repair,0.29,合资品牌
163,31103,汽车维修,丰田特约维修,雷克萨斯维修,Auto Repair,Toyota Franchised Repair,Lexus Repair,0.29,豪华品牌
164,31104,汽车维修,丰田特约维修,大发维修,Auto Repair,Toyota Franchised Repair,Daihatsu Repair,0.29,普通品牌
165,31200,汽车维修,斯巴鲁特约维修,斯巴鲁维修,Auto Repair,Subaru Franchised Repair,Subaru Repair,0.29,个性品牌
166,31300,汽车维修,标致雪铁龙特约维修,雪铁龙维修,Auto Repair,Peugeot Citroen Franchised Repair,Citroen Repair,0.29,普通品牌
167,31301,汽车维修,标致雪铁龙特约维修,东风标致维修,Auto Repair,Peugeot Citroen Franchised Repair,Dongfeng Peugeot Repair,0.29,合资品牌
168,31302,汽车维修,标致雪铁龙特约维修,东风雪铁龙维修,Auto Repair,Peugeot Citroen Franchised Repair,Dongfeng Citroen Repair,0.29,合资品牌
169,31303,汽车维修,标致雪铁龙特约维修,DS维修,Auto Repair,Peugeot Citroen,DS Repair,0.29,高端品牌
170,31400,汽车维修,三菱特约维修,三菱维修,Auto Repair,Mitsubishi Franchised Repair,Mitsubishi Repair,0.29,普通品牌
171,31401,汽车维修,三菱特约维修,广汽三菱维修,Auto Repair,Mitsubishi Franchised Repair,GAC Mitsubishi Repair,0.29,合资品牌
172,31500,汽车维修,菲亚特特约维修,菲亚特维修,Auto Repair,Fiat Franchised Repair,Fiat Repair,0.29,普通品牌
173,31501,汽车维修,菲亚特特约维修,阿尔法-罗密欧维修,Auto Repair,Fiat Franchised Repair,Alfa Romeo Repair,0.29,豪华品牌
174,31600,汽车维修,法拉利特约维修,法拉利维修,Auto Repair,Ferrari Franchised Repair,Ferrari Repair,0.29,奢侈品牌
175,31601,汽车维修,法拉利特约维修,玛莎拉蒂维修,Auto Repair,Ferrari Franchised Repair,Maserati Repair,0.29,奢侈品牌
176,31700,汽车维修,现代特约维修,现代维修,Auto Repair,Hyundai Franchised Repair,Hyundai Repair,0.29,普通品牌
177,31701,汽车维修,现代特约维修,进口现代维修,Auto Repair,Hyundai Franchised Repair,Import Hyundai Repair,0.29,进口品牌
178,31702,汽车维修,现代特约维修,北京现代维修,Auto Repair,Hyundai Franchised Repair,Beijing Hyundai Repair,0.29,合资品牌
179,31800,汽车维修,起亚特约维修,起亚维修,Auto Repair,KIA Franchised Repair,KIA Repair,0.29,普通品牌
180,31801,汽车维修,起亚特约维修,进口起亚维修,Auto Repair,KIA Franchised Repair,Import KIA Repair,0.29,进口品牌
181,31802,汽车维修,起亚特约维修,东风悦达起亚维修,Auto Repair,KIA Franchised Repair,Dongfeng Yueda KIA Repair,0.29,合资品牌
182,31900,汽车维修,福特特约维修,福特维修,Auto Repair,Ford Franchised Repair,Ford Repair,0.29,品牌服务
183,31902,汽车维修,福特特约维修,马自达维修,Auto Repair,Ford Franchised Repair,Mazda Repair,0.29,普通品牌
184,31903,汽车维修,福特特约维修,林肯维修,Auto Repair,Ford Franchised Repair,Lincoln Repair,0.29,豪华品牌
185,31904,汽车维修,福特特约维修,水星维修,Auto Repair,Ford Franchised Repair,Mercury Repair,0.29,衰退品牌
186,32000,汽车维修,捷豹特约维修,捷豹维修,Auto Repair,JAGUAR Franchised Repair,JAGUAR Repair,0.29,豪华品牌
187,32100,汽车维修,路虎特约维修,路虎维修,Auto Repair,Land Rover Franchised Repair,Land Rover Repair,0.29,豪华品牌
188,32200,汽车维修,保时捷特约维修,保时捷维修,Auto Repair,Porsche Franchised Repair,Porsche Repair,0.29,豪华品牌
189,32300,汽车维修,东风特约维修,东风维修,Auto Repair,DFM Franchised Repair,DFM Repair,0.29,普通品牌
190,32400,汽车维修,吉利特约维修,吉利维修,Auto Repair,Geely Franchised Repair,Geely Repair,0.29,国产品牌
191,32401,汽车维修,吉利特约维修,沃尔沃汽车维修,Auto Repair,Geely Franchised Repair,Volvo Cars Repair,0.29,豪华品牌
192,32500,汽车维修,奇瑞特约维修,奇瑞维修,Auto Repair,Chery Franchised Repair,Chery Repair,0.29,国产品牌
193,32600,汽车维修,克莱斯勒特约维修,克莱斯勒维修,Auto Repair,Chrysler Franchised Repair,Chrysler Repair,0.29,普通品牌
194,32601,汽车维修,克莱斯勒特约维修,吉普维修,Auto Repair,Chrysler Franchised Repair,Jeep Repair,0.29,个性品牌
195,32602,汽车维修,克莱斯勒特约维修,道奇维修,Auto Repair,Chrysler Franchised Repair,Dodge Repair,0.29,普通品牌
196,32700,汽车维修,荣威维修,荣威维修,Auto Repair,ROEWE Repair,ROEWE Repair,0.29,国产品牌
197,32800,汽车维修,名爵维修,名爵维修,Auto Repair,MG Repair,MG Repair,0.29,国产品牌
198,32900,汽车维修,江淮维修,江淮维修,Auto Repair,JAC Repair,JAC Repair,0.29,国产品牌
199,33000,汽车维修,红旗维修,红旗维修,Auto Repair,Hongqi Repair,Hongqi Repair,0.29,高端国产品牌
200,33100,汽车维修,长安汽车维修,长安汽车维修,Auto Repair,Chang'an Repair,Chang'an Repair,0.29,国产品牌
201,33200,汽车维修,海马汽车维修,海马汽车维修,Auto Repair,Haima Repair,Haima Repair,0.29,普通品牌
202,33300,汽车维修,北京汽车维修,北京汽车维修,Auto Repair,BAIC MOTOR Repair,BAIC MOTOR Repair,0.29,国产品牌
203,33400,汽车维修,长城汽车维修,长城汽车维修,Auto Repair,Great Wall Repair,Great Wall Repair,0.29,国产品牌
204,33401,汽车维修,长城汽车维修,魏派汽车维修,Auto Repair,Great Wall Repair,WEY Repair,0.29,高端国产品牌
205,33500,汽车维修,纳智捷维修,纳智捷维修,Auto Repair,Luxgen Repair,Luxgen Repair,0.29,普通品牌
206,33600,汽车维修,广汽传祺维修,广汽传祺维修,Auto Repair,GAC Trumpchi Repair,GAC Trumpchi Repair,0.29,国产品牌
207,35000,汽车维修,货车维修,货车维修,Auto Repair,Truck Repair,Truck Repair,0.2,专业需求
208,35100,汽车维修,东风货车维修,东风货车维修,Auto Repair,Dongfeng Truck Repair,Dongfeng Truck Repair,0.29,专业需求
209,35200,汽车维修,中国重汽维修,中国重汽维修,Auto Repair,SINOTRUK Repair,SINOTRUK Repair,0.29,专业需求
210,35300,汽车维修,一汽解放维修,一汽解放维修,Auto Repair,FAW Jiefang Repair,FAW Jiefang Repair,0.29,专业需求
211,35400,汽车维修,福田卡车维修,福田卡车维修,Auto Repair,Foton Truck Repair,Foton Truck Repair,0.29,专业需求
212,35500,汽车维修,陕西重汽维修,陕西重汽维修,Auto Repair,Shaanxi Heavy-duty Truck Repair,Shaanxi Heavy-duty Truck Repair,0.29,专业需求
213,35600,汽车维修,北奔重汽维修,北奔重汽维修,Auto Repair,Beiben Trucks Repair,Beiben Trucks Repair,0.29,专业需求
